'Reference';'Value';'Datasheet';'Footprint';'Qty';'Mouser';'Description';'Farnell'
'C1';'0.1uF';'https://nl.mouser.com/datasheet/2/40/cx5r-2835979.pdf';'Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder';'1';'581-12066D104KAT4A ';'Unpolarized capacitor';''
'D1';'5.0V';'https://www.bourns.com/docs/product-datasheets/smbj.pdf?sfvrsn=34552159_17';'SamacSys_Parts:DIOM5436X261N';'1';'652-SMBJ26A ';'';''
'D2';'WS2812B';'https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf';'LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm';'1';' 474-COM-16346 ';'RGB LED with integrated controller';''
'F1';'5 A';'https://nl.mouser.com/datasheet/2/54/Bourns_01_26_2024_SF_1206S_R_Datasheet-3398014.pdf';'Fuse:Fuse_2010_5025Metric_Pad1.52x2.65mm_HandSolder';'1';'652-SF-1206HH1000R-2 ';'';''
'J1';'RPi_GPIO';'https://nl.mouser.com/datasheet/2/813/12313-1074847.pdf';'_custom:Pin_Header_Straight_2x20';'1';'474-PRT-14017 ';'';''
'J2';'Conn_01x04_Socket';'~';'Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x04, script generated';'1830714'
'J3';'Conn_01x14_Socket';'~';'Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical';'1';'';'Generic connector, single row, 01x14, script generated';''
'J4';'Conn_01x03_Socket';'~';'Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x03, script generated';'     2399161 '
'J5';'Conn_01x03_Socket';'~';'Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x03, script generated';'     2399161 '
'J6';'Conn_01x03_Socket';'~';'Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x03, script generated';'     2399161 '
'J7';'Conn_01x04_Socket';'~';'Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x04, script generated';'1830714'
'J8';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J9';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J10';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J12';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J13';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J14';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J15';'Jack-DC 5V';'https://nl.farnell.com/cliff-electronic-components/fcr681466p/dc-barrel-conn-jack-2-1mm-2-5mm/dp/2759202';'Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002';'1';'';'';'FCR681466P'
'J18';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J19';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J20';'Conn_01x05_Socket';'~';'Connector_JST:JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x05, script generated';'1830716 '
'J21';'Conn_01x05_Socket';'~';'Connector_JST:JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x05, script generated';'1830716 '
'J22';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'J23';'Conn_01x04_Socket';'~';'Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x04, script generated';'1830714'
'J24';'Conn_01x02_Socket';'~';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'1';'';'Generic connector, single row, 01x02, script generated';'     2399159 '
'JP1';'Jumper_2_Open';'~';'Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm';'1';'';'Jumper, 2-pole, open';''
'JP2';'Jumper_2_Open';'~';'Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm';'1';'';'Jumper, 2-pole, open';''
'TP1';'TestPoint';'~';'TestPoint:TestPoint_Pad_2.0x2.0mm';'1';'';'test point';''
'U1';'Pico';'https://nl.mouser.com/datasheet/2/635/pico_datasheet-3048936.pdf';'MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH';'1';'358-SC0915 ';'';''
