Designator,Mid X,Mid Y,Rotation,Layer
C1,70.3158,-101.0488,180.0,top
D1,73.2,-116.7,270.0,top
D2,71.538,-106.3988,180.0,top
F1,65.4,-112.3036,90.0,top
IC1,135.197,-96.139,0.0,top
J1,106.705,-84.125,90.0,top
J10,113.428,-125.8482,0.0,top
J11,127.381,-133.269,0.0,top
J12,122.679,-119.233,0.0,top
J13,131.9554,-112.451,0.0,top
J14,122.679,-112.4304,0.0,top
J15,69.5,-128.75,0.0,top
J16,84.0232,-112.776,0.0,top
J18,100.4432,-112.85,0.0,top
J19,122.679,-125.8482,0.0,top
J20,83.8916,-119.1568,0.0,top
J21,83.95,-126.691,0.0,top
J22,113.428,-112.4304,0.0,top
J23,100.474,-125.791,0.0,top
J24,131.9554,-125.8688,0.0,top
J3,111.644,-61.5646,270.0,top
J4,90.9204,-133.3,0.0,top
J5,103.1124,-133.3,0.0,top
J6,115.0104,-133.3,0.0,top
J7,100.4432,-119.1568,0.0,top
J8,113.428,-119.233,0.0,top
J9,131.9554,-119.2536,0.0,top
R1,134.392,-89.281,180.0,top
U1,104.7568,-97.5198,90.0,top
